movie_name,year,runtime(min),genre,rating,metascore,votes,gross($)(M),rank
The Shawshank Redemption,1994,142,Drama,9.3,81,2673004,28.34,1
The Godfather,1972,175,"Crime, Drama",9.2,100,1852578,134.97,2
The Dark Knight,2008,152,"Action, Crime, Drama",9.0,84,2645938,534.86,3
The Lord of the Rings: The Return of the King,2003,201,"Action, Adventure, Drama",9.0,94,1842128,377.85,7
Schindler's List,1993,195,"Biography, Drama, History",9.0,94,1353145,96.90,6
The Godfather Part II,1974,202,"Crime, Drama",9.0,90,1268430,57.30,4
12 Angry Men,1957,96,"Crime, Drama",9.0,96,789547,4.36,5
Pulp Fiction,1994,154,"Crime, Drama",8.9,94,2048134,107.93,8
Jai Bhim,2021,164,"Crime, Drama, Mystery",8.8,,202100,,229
Inception,2010,148,"Action, Adventure, Sci-Fi",8.8,74,2345457,292.58,14
The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama",8.8,87,1663377,342.55,13
Fight Club,1999,139,Drama,8.8,66,2118493,37.03,12
The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",8.8,92,1871367,315.54,9
Forrest Gump,1994,142,"Drama, Romance",8.8,82,2072856,330.25,11
"Il buono, il brutto, il cattivo",1966,161,"Adventure, Western",8.8,90,761344,6.10,10
The Matrix,1999,136,"Action, Sci-Fi",8.7,73,1909202,171.48,16
Goodfellas,1990,145,"Biography, Crime, Drama",8.7,91,1158963,46.84,17
The Empire Strikes Back,1980,124,"Action, Adventure, Fantasy",8.7,82,1290373,290.48,15
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,84,1007250,112.00,18
Interstellar,2014,169,"Adventure, Drama, Sci-Fi",8.6,74,1822295,188.02,26
Cidade de Deus,2002,130,"Crime, Drama",8.6,79,756819,7.56,23
Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family",8.6,96,762414,10.06,31
Saving Private Ryan,1998,169,"Drama, War",8.6,91,1389135,216.54,24
The Green Mile,1999,189,"Crime, Drama, Fantasy",8.6,61,1299210,136.80,27
La vita è bella,1997,116,"Comedy, Drama, Romance",8.6,59,694745,57.60,25
Se7en,1995,127,"Crime, Drama, Mystery",8.6,65,1648313,100.13,19
Terminator 2: Judgment Day,1991,137,"Action, Sci-Fi",8.6,75,1097935,204.84,29
The Silence of the Lambs,1991,118,"Crime, Drama, Thriller",8.6,85,1430149,130.74,22
Star Wars,1977,121,"Action, Adventure, Fantasy",8.6,90,1362969,322.74,28
Seppuku,1962,133,"Action, Drama, Mystery",8.6,85,57716,,44
Shichinin no samurai,1954,207,"Action, Drama",8.6,98,346574,0.27,20
It's a Wonderful Life,1946,130,"Drama, Family, Fantasy",8.6,89,457666,,21
Gisaengchung,2019,132,"Drama, Thriller",8.5,96,798972,53.37,34
Whiplash,2014,106,"Drama, Music",8.5,89,858367,13.09,42
The Intouchables,2011,112,"Biography, Comedy, Drama",8.5,57,857452,13.18,46
The Prestige,2006,130,"Drama, Mystery, Sci-Fi",8.5,66,1331012,53.09,41
The Departed,2006,151,"Crime, Drama, Thriller",8.5,85,1323362,132.38,39
The Pianist,2002,150,"Biography, Drama, Music",8.5,85,831336,32.57,33
Gladiator,2000,155,"Action, Adventure, Drama",8.5,67,1497718,187.71,37
American History X,1998,119,"Crime, Drama",8.5,62,1121729,6.72,38
The Usual Suspects,1995,106,"Crime, Drama, Mystery",8.5,77,1084652,23.34,40
Léon,1994,110,"Action, Crime, Drama",8.5,64,1159443,19.50,35
The Lion King,1994,88,"Animation, Adventure, Drama",8.5,88,1056678,422.78,36
Nuovo Cinema Paradiso,1988,155,"Drama, Romance",8.5,80,261939,11.99,50
Hotaru no haka,1988,89,"Animation, Drama, War",8.5,94,278084,,45
Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",8.5,87,1203022,210.61,30
Apocalypse Now,1979,147,"Drama, Mystery, War",8.5,94,667799,83.47,53
Alien,1979,117,"Horror, Sci-Fi",8.5,89,882244,78.90,51
Once Upon a Time in the West,1968,165,Western,8.5,80,330372,5.32,48
Psycho,1960,109,"Horror, Mystery, Thriller",8.5,97,672257,32.00,32
Rear Window,1954,112,"Mystery, Thriller",8.5,100,492399,36.76,49
Casablanca,1942,102,"Drama, Romance, War",8.5,100,572336,1.02,43
Modern Times,1936,87,"Comedy, Drama, Romance",8.5,96,243354,0.16,47
City Lights,1931,87,"Comedy, Drama, Romance",8.5,99,185535,0.02,52
Hamilton,2020,160,"Biography, Drama, History",8.4,89,95151,,107
Capharnaüm,2018,126,Drama,8.4,75,90439,1.66,90
